timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750319325960,5304,RegisterPage,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 5,304 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209106,159,10,10,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,5155,0,4666
1750319331292,76,DealsPage,403,Forbidden,Thread Group 1-1,text,false,,1927,530,10,10,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,76,0,0
1750319326743,5717,RegisterPage,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 5,717 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209207,159,12,12,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,4673,0,3898
1750319327915,4548,RegisterPage,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 4,548 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209089,159,12,12,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,3503,0,2715
1750319326827,5681,RegisterPage,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 5,681 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209013,159,12,12,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,4616,0,3809
1750319331373,1138,CardsPage,200,OK,Thread Group 1-1,text,true,,184620,671,12,12,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,767,0,0
1750319329177,3350,RegisterPage,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 3,350 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209282,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,2271,0,1454
1750319328520,4020,RegisterPage,200,OK,Thread Group 1-6,text,false,"The operation lasted too long: It took 4,020 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209513,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,2942,0,2115
1750319330462,2092,RegisterPage,200,OK,Thread Group 1-9,text,false,"The operation lasted too long: It took 2,092 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209377,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,994,0,203
1750319332468,111,DealsPage,403,Forbidden,Thread Group 1-2,text,false,,1925,528,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,111,0,0
1750319332470,117,DealsPage,403,Forbidden,Thread Group 1-5,text,false,,1920,524,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,117,0,0
1750319332513,78,DealsPage,403,Forbidden,Thread Group 1-3,text,false,,1919,522,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,78,0,0
1750319327425,5171,RegisterPage,200,OK,Thread Group 1-4,text,false,"The operation lasted too long: It took 5,171 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209238,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,4113,0,3213
1750319332532,69,DealsPage,403,Forbidden,Thread Group 1-7,text,false,,1922,524,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,69,0,0
1750319332549,77,DealsPage,403,Forbidden,Thread Group 1-6,text,false,,1921,524,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,77,0,0
1750319332559,75,DealsPage,403,Forbidden,Thread Group 1-9,text,false,,1923,526,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,75,0,0
1750319332601,58,DealsPage,403,Forbidden,Thread Group 1-4,text,false,,1923,526,11,11,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,58,0,0
1750319329746,2917,RegisterPage,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 2,917 milliseconds, but should not have lasted longer than 2,000 milliseconds.",209222,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,2221,0,895
1750319330969,1700,RegisterPage,200,OK,Thread Group 1-10,text,true,,209222,159,11,11,https://www.etsy.com/uk/registry?ref=contentful_promo_cat_nav-7,1152,0,247
1750319332667,62,DealsPage,403,Forbidden,Thread Group 1-8,text,false,,1922,524,12,12,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,62,0,0
1750319332673,64,DealsPage,403,Forbidden,Thread Group 1-10,text,false,,1919,522,12,12,https://www.etsy.com/uk/featured/hub/sales?ref=DEALS25_cat_nav,63,0,0
1750319332597,1554,CardsPage,200,OK,Thread Group 1-5,text,true,,184488,665,14,14,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,415,0,0
1750319332605,1943,CardsPage,200,OK,Thread Group 1-7,text,true,,184565,665,13,13,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,489,0,0
1750319332585,1965,CardsPage,200,OK,Thread Group 1-2,text,true,,184595,669,13,13,https://www.etsy.com/uk/giftcards?ref=contentful_promo_cat_nav-8,529,0,0
